Player,Team,Position,Nationality,Foot,Height_cm,Age,Contract_years,Cost_eur,MarketValue_eur,Venta,Google_Trend,Media,Mediana,Máximo,Mínimo,Varianza,Twitter,Instagram,Minutos_jugados,Duelos_aéreos_ganados_ptg,Entradas_logradas_ptg,Tiros_interceptados_90,Interceptaciones_90,Faltas_90,Tarjetas_amarillas_90,Tarjetas_rojas_90,Goles_90,Remates_90,Tiros_portería_ptg,Asistencias_90,Centros_90,Regates_90,PassAccuracy_pct,ShortMedPassAccuracy_pct,LongPassAccuracy_pct,KeyPasses_per90,FinalThirdPasses_per90,PenaltyAreaPasses_per90,ThroughPasses_per90,ProgressivePasses_per90,FreeKicks_per90,Corners_per90,Player_key,League,Nacionalidad,Continent,PC1,Mean,Variance,Min,Max,Median,Player_pi,Sold_flag
Souleymane Bamba,Cardiff City,3,France,1,190,34,1,1000000,1000000,0,0.01098901098901099,0.06559077580899905,0.0,2.8,0.0,0.3806331950389363,0.0,5504.0,2670,63.8,17.39,0.74,7.52,1.15,0.24,0.0,0.13,0.57,41.18,0.0,0.1,1.11,75.93,81.07,48.28,0.03,2.9,0.27,0.17,4.72,0.0,0.0,Souleymane Bamba,Premier,France,Europe,-0.8290196386964572,0.015037037037037038,0.00024830501747030053,0.0,0.0896,0.0112,Souleymane Bamba,
Stanislav Lobotka,Celta de Vigo,2,Slovakia,1,170,24,4,25000000,25000000,0,0.02380952380952381,0.06377264198727316,0.03637566137566137,0.4444444444444444,0.0,0.09281461969450977,12461.0,,2639,29.63,42.86,0.07,2.9,0.55,0.03,0.0,0.0,0.38,18.18,0.03,0.61,1.88,90.99,92.64,68.57,0.14,5.63,1.26,0.31,5.93,0.14,0.1,Stanislav Lobotka,LaLiga,Slovakia,Europe,-0.7392709432081221,0.025166666666666664,0.0008514693396226412,0.0,0.16199999999999998,0.018,Stanislav Lobotka,
Stefan Bell,Mainz 05,3,Germany,1,192,27,1,3500000,3500000,0,0.003663003663003663,0.05761154463260084,0.03774928774928775,0.2380952380952381,0.0,0.05912039675346106,0.0,70275.0,2367,61.18,50.0,0.34,6.01,1.52,0.27,0.0,0.0,0.49,23.08,0.0,0.65,1.14,82.41,91.18,50.44,0.15,9.28,1.9,1.18,11.1,0.0,0.0,Stefan Bell,Bundesliga,Germany,Europe,-0.8889987738080065,0.0019000000000000002,3.122218867924529e-06,0.0,0.00756,0.00216,Stefan Bell,
Stefan de Vrij,Internazionale,3,Netherlands,1,189,27,4,50000000,50000000,0,0.05494505494505494,0.0564493153857189,0.01095238095238095,0.4166666666666667,0.0,0.08964016158183749,0.0,0.0,2703,50.56,14.29,0.57,4.76,0.43,0.07,0.0,0.07,0.47,35.71,0.0,0.1,0.33,93.25,95.69,64.52,0.0,4.5,0.23,0.3,8.12,0.0,0.0,Stefan de Vrij,Serie A,Netherlands,Europe,-0.49149114904386426,0.05641481481481482,0.0037156888329839266,0.0112,0.448,0.0448,Stefan de Vrij,
Stefan Ilsanker,RB Leipzig,3,Austria,1,189,30,1,4500000,4500000,0,0.008241758241758242,0.1558353169717111,0.1515151515151515,0.7142857142857143,0.001935483870967742,0.1180017822173457,179579.0,394624.0,993,63.46,31.58,0.09,5.8,1.81,0.45,0.09,0.0,0.18,0.0,0.0,0.18,0.27,81.09,87.23,46.77,0.0,5.26,0.63,0.45,7.61,0.0,0.0,Stefan Ilsanker,Bundesliga,Austria,Europe,-0.8809373407929267,0.003279999999999999,1.0517977358490566e-05,0.0,0.0162,0.00216,Stefan Ilsanker,
Stefan Mitrović,Strasbourg,3,Serbia,0,189,29,3,3500000,3500000,0,0.008241758241758242,0.06460338846586836,0.02136363636363636,0.3571428571428572,0.0,0.08651652278780948,,,3211,54.17,22.22,0.67,5.1,0.56,0.22,0.06,0.0,0.28,40.0,0.0,0.0,0.08,93.58,95.41,74.17,0.03,1.88,0.11,0.06,4.57,0.0,0.0,Stefan Mitrovic,Ligue 1,Serbia,Europe,-0.8743226092083037,0.004139999999999999,2.300889056603774e-05,0.0,0.029160000000000002,0.00324,Stefan Mitrovic,
Stefan Posch,Hoffenheim,3,Austria,1,188,22,4,5500000,5500000,0,0.004578754578754579,0.07777989867176431,0.01418581418581418,0.4666666666666667,0.0,0.1205034956429923,0.0,5959.666666666666,1490,51.72,40.0,0.18,4.77,1.87,0.3,0.0,0.0,0.24,50.0,0.0,0.42,0.24,90.82,94.23,61.46,0.0,7.01,0.91,0.48,10.45,0.0,0.0,Stefan Posch,Bundesliga,Austria,Europe,-0.8873716472859775,0.00256,9.520301886792452e-06,0.0,0.01512,0.00216,Stefan Posch,
Ştefan Radu,Lazio,3,Romania,0,183,32,2,5000000,5000000,0,0.01098901098901099,0.05513022966906411,0.006421356421356422,0.7333333333333333,0.0,0.1193107069678087,0.0,17405.0,2360,55.93,30.77,0.53,4.73,1.22,0.19,0.0,0.0,0.23,0.0,0.04,1.26,1.07,87.89,92.15,56.78,0.11,7.63,1.6,0.38,11.17,0.04,0.0,Stefan Radu,Serie A,Romania,Europe,-0.8084606564145753,0.014311111111111111,6.705911949685536e-05,0.0,0.0448,0.0112,Stefan Radu,
Stefan Savić,Atlético Madrid,3,Montenegro,1,187,28,3,35000000,35000000,0,0.03296703296703297,0.05309489399158157,0.03571428571428571,0.25,0.0,0.05082869082784097,0.0,0.0,1471,56.94,50.0,0.37,4.22,0.92,0.24,0.06,0.0,0.31,20.0,0.12,0.06,0.06,87.62,95.38,52.69,0.12,4.65,0.18,0.18,7.28,0.0,0.0,Stefan Savic,LaLiga,Montenegro,Europe,-0.6289708817697126,0.03722962962962963,0.0010664262753319355,0.0056,0.19039999999999999,0.0336,Stefan Savic,
Stefano Okaka Chuka,Udinese,1,Italy,1,186,29,3,5000000,5000000,0,0.003496503496503497,0.1070167440696469,0.08333333333333333,0.375,0.000967741935483871,0.0876392360087144,0.0,280874.0,1059,48.51,100.0,0.0,1.78,3.31,0.42,0.0,0.51,1.61,42.11,0.08,0.34,4.42,80.3,84.13,36.36,0.34,2.38,1.02,0.34,1.61,0.0,0.0,Stefano Okaka Chuka,Serie A,Italy,Europe,-0.7423536065978632,0.02962962962962963,0.0003734451432564642,0.02,0.08,0.02,Stefano Okaka Chuka,
Stefano Sensi,Internazionale,2,Italy,1,168,23,1,18000000,18000000,0,0.02777777777777778,0.004906791207876547,0.004536290322580645,0.0196078431372549,0.0004166666666666666,0.003833211635124008,0.0,0.0,2080,37.04,0.0,0.26,4.02,1.04,0.35,0.0,0.09,1.6,21.62,0.17,0.69,2.64,90.21,93.39,58.51,0.26,8.26,1.6,1.21,7.27,1.13,2.99,Stefano Sensi,Serie A,Italy,Europe,-0.7374677218506075,0.03541666666666666,0.0029076297169811313,0.0045,0.32849999999999996,0.0225,Stefano Sensi,
Stephan Lichtsteiner,Augsburg,3,Switzerland,1,182,35,1,1000000,1000000,0,0.07692307692307693,0.07733598010719644,0.03550420168067227,0.9480519480519481,0.0009216589861751152,0.1569782090538245,0.0,25322.0,1004,51.43,12.5,0.18,3.5,0.81,0.27,0.0,0.0,0.09,0.0,0.0,3.23,1.43,78.16,87.44,31.71,0.0,5.56,2.87,0.36,8.96,0.0,0.0,Stephan Lichtsteiner,Bundesliga,Switzerland,Europe,0.12192489750465874,0.1270370370370371,0.024051432564640117,0.07,0.8400000000000001,0.07,Stephan Lichtsteiner,
Stéphane Bahoken,Angers,1,France,1,185,27,3,8000000,8000000,0,0.0009535918626827716,0.07335587595679219,0.06696428571428571,0.2307692307692308,0.02,0.04045495710211281,218760.0,,2552,23.53,0.0,0.04,1.94,1.87,0.11,0.0,0.39,2.36,53.73,0.04,1.41,2.54,73.91,78.73,100.0,0.32,1.13,1.2,0.39,1.41,0.07,0.0,Stephane Bahoken,Ligue 1,France,Europe,-0.8764057483014905,0.004325925925925926,1.706308874912649e-05,0.0,0.0176,0.004,Stephane Bahoken,
Steve Cook,AFC Bournemouth,3,England,1,185,28,2,10000000,10000000,0,0.006410256410256411,0.003949504710797631,0.001638882933104631,0.04166666666666666,0.0,0.007135462310677178,8354.0,12833.0,3005,58.67,46.15,0.45,6.14,0.54,0.09,0.0,0.03,0.45,60.0,0.0,0.42,0.27,82.05,89.16,48.51,0.06,6.38,0.66,0.18,10.3,0.0,0.0,Steve Cook,Bundesliga,England,Europe,-0.8791891982452834,0.003699999999999999,9.049584905660379e-06,0.0,0.01404,0.00216,Steve Cook,
Steven Moreira,Toulouse,3,France,1,179,24,2,1250000,1250000,0,0.002747252747252747,0.08509375504729715,0.0193452380952381,0.619047619047619,0.0,0.1297285490308786,24320.0,0.0,915,19.05,75.0,0.0,5.11,1.18,0.2,0.0,0.0,0.69,14.29,0.0,1.87,1.48,78.6,85.54,47.06,0.2,3.84,1.67,0.1,6.0,0.0,0.1,Steven Moreira,Ligue 1,France,Europe,-0.8933620372510321,0.0011400000000000002,8.02908679245283e-06,0.0,0.01944,0.0,Steven Moreira,
Steven Skrzybski ,Schalke 04,1,Germany,1,175,26,2,3500000,3500000,0,0.0009535918626827716,0.01793212619759781,0.0,0.25,0.0,0.04854880546501954,2341.0,16592.28571428571,706,15.79,0.0,0.0,2.17,1.15,0.13,0.0,0.38,2.04,43.75,0.13,0.76,1.78,70.87,75.0,20.0,0.64,1.15,1.27,0.25,1.91,0.0,0.0,Steven Skrzybski,Bundesliga,Germany,Europe,-0.8571164564718807,0.006488888888888888,8.84327044025157e-05,0.0,0.046400000000000004,0.0032,Steven Skrzybski,
Steven Zuber,Hoffenheim,2,Switzerland,1,182,27,1,7000000,7000000,0,0.03246753246753246,0.003975238546476224,0.001649305555555556,0.02959183673469388,0.0,0.00614535446163916,0.0,,1700,35.29,50.0,0.11,2.7,1.16,0.21,0.0,0.26,2.54,27.08,0.05,2.96,3.34,77.6,83.59,53.85,0.64,3.65,3.28,1.01,6.09,0.0,0.16,Steven Zuber,Bundesliga,Switzerland,Europe,-0.6734755628988793,0.020416666666666666,0.0036942594339622646,0.00225,0.44999999999999996,0.009,Steven Zuber,
